Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J29,LED8,PinHeader_2x08_P2.54mm_Vertical,177.927,-64.389,90.0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,115.189,-114.554,90.0,top
J30,I2C,JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical_SilkSafe,147.135,-99.06,-90.0,top
J31,UART,JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical_SilkSafe,147.135,-112.141,-90.0,top
J32,LED3,PinHeader_2x08_P2.54mm_Vertical,177.927,-102.30757,90.0,top
J33,LED1,PinHeader_2x08_P2.54mm_Vertical,177.8,-117.475,90.0,top
J34,LED2,PinHeader_2x08_P2.54mm_Vertical,177.927,-109.891284,90.0,top
J35,LED4,PinHeader_2x08_P2.54mm_Vertical,177.927,-94.723856,90.0,top
J4,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,115.189,-96.774,-90.0,top
JR1,ROW1,PinHeader_2x08_P2.54mm_Vertical,92.71,-131.826,180.0,top
JR2,ROW2,PinHeader_2x08_P2.54mm_Vertical,102.616,-131.826,180.0,top
JR3,ROW3,PinHeader_2x08_P2.54mm_Vertical,112.522,-131.826,180.0,top
JR4,ROW4,PinHeader_2x08_P2.54mm_Vertical,122.428,-131.81021,180.0,top
JR5,ROW5,PinHeader_2x08_P2.54mm_Vertical,132.334,-131.826,180.0,top
JR6,ROW6,PinHeader_2x08_P2.54mm_Vertical,142.24,-131.826,180.0,top
JR7,ROW7,PinHeader_2x08_P2.54mm_Vertical,152.146,-131.826,180.0,top
JR8,ROW8,PinHeader_2x08_P2.54mm_Vertical,161.958,-131.826,180.0,top
JSPI1,Conn_01x06,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe,152.469,-83.312,-90.0,top
JSPI2,Conn_01x06,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe,157.295,-83.312,-90.0,top
JSPI3,Conn_01x06,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe,162.121,-83.312,-90.0,top
JSPI4,Conn_01x06,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe,152.469,-71.501,-90.0,top
JSPI5,Conn_01x06,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe,157.295,-71.501,-90.0,top
JSPI6,Conn_01x06,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe,162.121,-71.501,-90.0,top
JSPI7,Conn_01x06,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe,156.972,-63.569,180.0,top
L1,3.3uH,L_Sunlord_MWSA0604S,95.377,-85.471,0.0,top
Q1,AOD4184A,DPAK228P994X240-4N,111.76,-70.827,0.0,top
Q2,MMBT3904,SOT-23,109.855,-80.8205,90.0,top
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,94.424338,-73.539627,-90.0,top
R10,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.1645,-120.142,180.0,top
R11,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,102.2585,-120.142,180.0,top
R12,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,122.0705,-120.12621,180.0,top
R13,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.9765,-120.142,180.0,top
R14,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.7885,-120.142,180.0,top
R15,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,161.5675,-120.142,180.0,top
R16,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,141.8825,-120.142,180.0,top
R17,2.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.093,-93.218,0.0,top
R18,10R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.649,-78.867,-90.0,top
R2,33.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.7975,-75.311,180.0,top
R3,1.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.728,-77.851,180.0,top
R4,330R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,106.68,-86.428,-90.0,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.1165,-91.313,180.0,top
R6,47R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.584,-92.2528,-90.0,top
R7,2.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.51,-102.87,-90.0,top
R8,2.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.86,-97.4325,90.0,top
R9,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,92.3525,-120.142,180.0,top
U1,AP62300TWU,TSOT-23-6,95.7525,-77.172011,180.0,top
U2,CD74HC4067SM96,SSOP-24_5.3x8.2mm_P0.65mm,115.57,-88.773,90.0,top
U3,LM4040DBZ-3,SOT-23,104.968,-91.948,90.0,top
U5,74HC138,SOIC-16_3.9x9.9mm_P1.27mm,157.988,-95.123,90.0,top
U6,TM1639 (TA2009B),SOP-24_7.5x15.4mm_P1.27mm,157.988,-109.093,0.0,top
U7,74HC138,SOIC-16_3.9x9.9mm_P1.27mm,175.514,-130.81,180.0,top
